Coluna,Média,Moda,Mediana,25% Quartil,50% Quartil,75% Quartil,Mínimo,Máximo,Variância,Desvio Padrão
white_high_school,5.807913669064749,5.2,5.3,4.4,5.3,7.2,3.8,9.1,2.6537774997393386,1.6290418962504736
white_some_college,4.600719424460432,3.0,4.2,3.3,4.2,5.9,2.8,8.0,2.087898029402565,1.4449560648692972
white_bachelor's_degree,3.1258992805755397,2.2,2.8,2.2,2.8,3.9,2.1,5.6,0.8861359607965801,0.9413479488460046
white_advanced_degree,2.2482014388489207,1.9,2.0,1.8,2.0,2.9,1.5,3.7,0.3219351475341466,0.5673932917599102
white_women,4.3755395683453235,3.0,3.9,3.2,3.9,5.55,2.7,7.3,1.7702669169012615,1.33051377929778
white_women_16-24,8.304316546762589,6.2,7.9,6.2,7.9,10.55,5.6,12.7,5.072010217912626,2.2521123901600975
white_women_25-54,3.8251798561151076,2.5,3.4,2.8,3.4,4.8,2.4,6.3,1.4078396413304137,1.1865241848906467
white_women_55-64,3.546043165467625,2.4,3.3,2.5,3.3,4.45,2.0,6.8,1.394531331456574,1.180902761219811
white_women_65+,4.295683453237411,3.0,3.9,3.05,3.9,5.1,2.5,8.1,2.0275174642894376,1.423909219118072
white_women_less_than_hs,11.497841726618704,11.6,11.4,8.5,11.4,13.55,6.7,17.6,10.228908351579605,3.1982664603781226
white_women_high_school,5.5525179856115106,5.1,5.1,4.25,5.1,6.8,3.7,9.2,2.2810624543843185,1.5103186598808604
white_women_some_college,4.615827338129496,3.1,4.2,3.3,4.2,5.75,2.8,8.3,2.2227911583776456,1.4909027997752387
white_women_bachelor's_degree,3.1669064748201436,2.1,2.8,2.2,2.8,3.8499999999999996,2.0,6.3,1.102085288291106,1.0498024996593913
white_women_advanced_degree,2.2949640287769784,1.9,2.0,1.8,2.0,2.9,1.5,3.8,0.38033677405901367,0.616714499634161
white_men,4.680575539568346,4.1,4.2,3.5,4.2,5.85,2.9,7.6,1.8975185069335836,1.3775044489705228
white_men_16-24,10.57769784172662,7.7,9.7,8.2,9.7,12.75,7.0,15.9,7.423339589198207,2.724580626297964
white_men_25-54,3.9884892086330943,2.6,3.6,2.9,3.6,5.05,2.5,6.6,1.4769679908247315,1.2153057190784267
white_men_55-64,3.647482014388489,3.3,3.3,2.7,3.3,4.7,2.1,6.0,1.324395787717652,1.150823960350866
white_men_65+,3.8892086330935247,5.7,3.4,3.0,3.4,4.9,2.4,6.3,1.3566218329684079,1.1647411012617388
white_men_less_than_hs,11.26115107913669,10.5,10.5,8.9,10.5,12.9,6.7,18.4,10.235001563966218,3.199218899038673
white_men_high_school,5.9863309352517975,5.3,5.4,4.5,5.4,7.45,3.8,9.9,3.0810436867896986,1.7552902001634085
white_men_some_college,4.596402877697843,2.9,4.3,3.3,4.3,5.95,2.8,7.6,2.000494213324992,1.4143882823768699
white_men_bachelor's_degree,3.083453237410072,2.3,2.7,2.3,2.7,4.0,2.1,4.9,0.7215358148263996,0.849432642901366
white_men_advanced_degree,2.2050359712230216,1.8,1.9,1.8,1.9,2.6500000000000004,1.6,3.7,0.2842498175372745,0.533150839385323
population_over_16,255062575.53956833,242269000.0,255766000.0,248935500.0,255766000.0,260650000.0,242269000.0,267002000.0,47862746651861.12,6918290.731955482
